Index,Age,Overall,Weak Foot,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
317,36,82,3.0,19.0,12.0,19.0,35.0,17.0,12.0,13.0,19.0,33.0,22.0,35.0,38.0,46.0,77.0,34.0,21.0,50.0,32.0,63.0,11.0,17.0,23.0,13.0,53.0,23.0,63.0,12.0,13.0,12.0,78.0,82.0,70.0,83.0,79.0
318,37,82,2.0,13.0,12.0,25.0,21.0,14.0,25.0,25.0,13.0,22.0,23.0,59.0,57.0,62.0,77.0,46.0,28.0,77.0,43.0,70.0,13.0,23.0,22.0,16.0,65.0,24.0,70.0,24.0,11.0,13.0,87.0,74.0,58.0,82.0,84.0
338,23,81,2.0,18.0,18.0,11.0,26.0,11.0,14.0,14.0,12.0,22.0,15.0,41.0,46.0,31.0,74.0,47.0,18.0,49.0,23.0,56.0,14.0,20.0,24.0,18.0,49.0,21.0,61.0,20.0,18.0,12.0,81.0,77.0,75.0,78.0,86.0
359,27,81,3.0,13.0,11.0,10.0,17.0,10.0,11.0,20.0,19.0,21.0,23.0,44.0,40.0,36.0,78.0,25.0,18.0,62.0,34.0,55.0,10.0,23.0,24.0,10.0,41.0,20.0,63.0,17.0,11.0,12.0,81.0,76.0,79.0,81.0,82.0
372,25,81,3.0,20.0,19.0,14.0,41.0,16.0,12.0,16.0,16.0,32.0,22.0,54.0,52.0,53.0,77.0,58.0,25.0,59.0,28.0,80.0,14.0,26.0,23.0,17.0,34.0,25.0,64.0,11.0,18.0,12.0,83.0,78.0,70.0,77.0,84.0
385,32,81,2.0,15.0,10.0,12.0,44.0,10.0,25.0,14.0,10.0,47.0,23.0,60.0,62.0,68.0,76.0,62.0,25.0,84.0,45.0,68.0,10.0,32.0,23.0,13.0,58.0,24.0,53.0,12.0,16.0,16.0,81.0,75.0,75.0,81.0,83.0
400,33,81,2.0,14.0,13.0,11.0,20.0,17.0,14.0,18.0,12.0,32.0,22.0,50.0,47.0,52.0,71.0,44.0,14.0,68.0,25.0,65.0,20.0,43.0,16.0,15.0,52.0,22.0,63.0,14.0,12.0,13.0,79.0,83.0,70.0,80.0,84.0
426,22,80,3.0,15.0,12.0,20.0,33.0,13.0,26.0,30.0,17.0,26.0,38.0,64.0,62.0,68.0,78.0,53.0,21.0,80.0,39.0,67.0,17.0,29.0,15.0,11.0,62.0,27.0,57.0,12.0,18.0,14.0,83.0,79.0,85.0,75.0,80.0
438,26,80,3.0,12.0,15.0,12.0,32.0,16.0,14.0,19.0,20.0,23.0,15.0,54.0,48.0,58.0,76.0,50.0,24.0,65.0,42.0,73.0,17.0,26.0,21.0,12.0,58.0,24.0,61.0,15.0,13.0,17.0,83.0,76.0,74.0,77.0,83.0
439,31,80,2.0,18.0,11.0,19.0,34.0,18.0,19.0,14.0,16.0,21.0,29.0,40.0,40.0,40.0,79.0,34.0,25.0,65.0,28.0,82.0,17.0,35.0,21.0,18.0,55.0,20.0,48.0,10.0,13.0,18.0,79.0,74.0,69.0,79.0,84.0
447,26,80,2.0,12.0,16.0,10.0,24.0,13.0,13.0,20.0,20.0,27.0,14.0,48.0,42.0,62.0,77.0,51.0,21.0,72.0,43.0,72.0,15.0,27.0,26.0,14.0,45.0,23.0,59.0,17.0,16.0,13.0,79.0,77.0,68.0,81.0,81.0
462,29,80,3.0,15.0,14.0,19.0,17.0,13.0,14.0,17.0,16.0,38.0,20.0,34.0,35.0,32.0,76.0,53.0,20.0,70.0,35.0,73.0,16.0,29.0,22.0,15.0,68.0,13.0,60.0,19.0,18.0,18.0,82.0,72.0,74.0,81.0,85.0
463,26,80,3.0,11.0,14.0,11.0,32.0,14.0,15.0,13.0,12.0,35.0,24.0,50.0,47.0,36.0,71.0,45.0,17.0,72.0,37.0,73.0,15.0,36.0,21.0,13.0,43.0,22.0,62.0,14.0,15.0,14.0,79.0,80.0,74.0,80.0,80.0
466,25,80,3.0,11.0,16.0,12.0,40.0,12.0,21.0,12.0,14.0,30.0,36.0,58.0,55.0,55.0,73.0,50.0,29.0,76.0,40.0,79.0,13.0,40.0,27.0,16.0,40.0,42.0,62.0,23.0,13.0,11.0,82.0,77.0,71.0,80.0,84.0
495,27,80,4.0,17.0,12.0,19.0,37.0,19.0,15.0,13.0,20.0,38.0,34.0,57.0,45.0,54.0,77.0,42.0,25.0,57.0,40.0,65.0,17.0,18.0,21.0,11.0,57.0,27.0,61.0,25.0,18.0,16.0,79.0,77.0,77.0,79.0,83.0
500,31,80,3.0,35.0,11.0,20.0,39.0,13.0,16.0,32.0,20.0,33.0,24.0,51.0,52.0,63.0,72.0,48.0,45.0,68.0,41.0,62.0,15.0,24.0,27.0,13.0,52.0,29.0,62.0,23.0,15.0,17.0,82.0,81.0,79.0,77.0,82.0
504,27,80,4.0,13.0,13.0,11.0,25.0,12.0,10.0,14.0,12.0,12.0,24.0,45.0,52.0,42.0,80.0,37.0,22.0,75.0,45.0,73.0,13.0,30.0,22.0,12.0,46.0,17.0,62.0,15.0,14.0,10.0,79.0,74.0,77.0,82.0,83.0
509,29,80,2.0,14.0,12.0,8.0,41.0,13.0,13.0,12.0,15.0,38.0,22.0,41.0,40.0,34.0,79.0,39.0,24.0,66.0,29.0,41.0,11.0,25.0,14.0,8.0,42.0,22.0,45.0,16.0,18.0,14.0,79.0,72.0,69.0,80.0,86.0
512,28,80,2.0,16.0,10.0,23.0,29.0,10.0,19.0,18.0,11.0,25.0,25.0,42.0,44.0,41.0,72.0,50.0,23.0,67.0,35.0,68.0,12.0,34.0,23.0,11.0,36.0,24.0,45.0,25.0,16.0,20.0,81.0,80.0,76.0,76.0,81.0
526,31,80,3.0,11.0,14.0,12.0,39.0,17.0,12.0,12.0,13.0,48.0,40.0,47.0,44.0,52.0,78.0,44.0,14.0,63.0,35.0,75.0,11.0,33.0,21.0,11.0,55.0,16.0,62.0,14.0,11.0,15.0,78.0,76.0,81.0,77.0,82.0
541,32,80,3.0,19.0,13.0,18.0,23.0,10.0,15.0,19.0,13.0,22.0,22.0,51.0,50.0,53.0,71.0,45.0,24.0,62.0,35.0,72.0,13.0,24.0,17.0,11.0,59.0,10.0,67.0,18.0,13.0,13.0,77.0,72.0,78.0,82.0,84.0
544,36,80,3.0,11.0,12.0,10.0,28.0,14.0,11.0,10.0,11.0,23.0,23.0,34.0,52.0,48.0,78.0,47.0,22.0,68.0,42.0,66.0,11.0,36.0,16.0,11.0,53.0,21.0,62.0,16.0,13.0,14.0,75.0,81.0,74.0,81.0,76.0
548,34,80,2.0,10.0,17.0,13.0,35.0,15.0,24.0,17.0,13.0,35.0,25.0,44.0,43.0,50.0,77.0,50.0,23.0,62.0,33.0,55.0,15.0,32.0,17.0,10.0,43.0,21.0,65.0,10.0,12.0,12.0,82.0,80.0,64.0,78.0,82.0
551,34,80,2.0,11.0,11.0,12.0,31.0,13.0,13.0,16.0,12.0,35.0,24.0,46.0,34.0,54.0,74.0,49.0,21.0,62.0,30.0,57.0,16.0,22.0,11.0,10.0,68.0,11.0,60.0,15.0,14.0,14.0,84.0,77.0,81.0,80.0,79.0
554,39,80,3.0,11.0,10.0,10.0,36.0,18.0,14.0,14.0,11.0,34.0,20.0,34.0,40.0,52.0,67.0,48.0,21.0,74.0,28.0,74.0,13.0,22.0,25.0,10.0,34.0,20.0,66.0,25.0,10.0,13.0,81.0,82.0,66.0,82.0,79.0
564,26,79,3.0,8.0,9.0,7.0,11.0,8.0,18.0,12.0,13.0,12.0,20.0,58.0,62.0,66.0,76.0,43.0,15.0,60.0,23.0,60.0,12.0,35.0,12.0,5.0,60.0,15.0,64.0,22.0,9.0,16.0,81.0,75.0,71.0,77.0,82.0
568,26,79,3.0,16.0,14.0,17.0,25.0,13.0,15.0,18.0,17.0,32.0,17.0,58.0,54.0,36.0,76.0,50.0,24.0,60.0,27.0,70.0,13.0,26.0,20.0,11.0,63.0,15.0,69.0,18.0,20.0,12.0,80.0,73.0,65.0,77.0,85.0
571,26,79,2.0,30.0,20.0,20.0,40.0,20.0,8.0,20.0,9.0,40.0,9.0,39.0,35.0,32.0,73.0,37.0,40.0,45.0,45.0,79.0,17.0,20.0,17.0,9.0,45.0,9.0,59.0,19.0,22.0,20.0,74.0,79.0,78.0,81.0,79.0
578,29,79,3.0,21.0,16.0,15.0,31.0,12.0,18.0,15.0,13.0,25.0,29.0,40.0,48.0,40.0,71.0,44.0,28.0,60.0,18.0,81.0,17.0,27.0,30.0,18.0,55.0,23.0,51.0,22.0,16.0,18.0,81.0,75.0,74.0,80.0,82.0
609,24,79,3.0,17.0,14.0,11.0,28.0,15.0,14.0,24.0,20.0,26.0,12.0,48.0,46.0,62.0,76.0,43.0,19.0,63.0,36.0,54.0,12.0,27.0,19.0,11.0,53.0,24.0,60.0,16.0,11.0,11.0,77.0,78.0,77.0,79.0,81.0
620,25,79,3.0,14.0,18.0,14.0,38.0,14.0,16.0,12.0,14.0,41.0,23.0,55.0,54.0,51.0,75.0,43.0,20.0,74.0,36.0,64.0,16.0,21.0,13.0,8.0,50.0,19.0,60.0,9.0,11.0,13.0,82.0,74.0,78.0,76.0,82.0
634,32,79,3.0,13.0,15.0,15.0,37.0,11.0,16.0,11.0,11.0,37.0,19.0,50.0,47.0,59.0,74.0,42.0,14.0,63.0,42.0,73.0,12.0,33.0,26.0,13.0,48.0,16.0,45.0,12.0,15.0,12.0,80.0,76.0,75.0,79.0,82.0
647,26,79,4.0,23.0,11.0,14.0,40.0,15.0,13.0,23.0,12.0,45.0,24.0,53.0,52.0,53.0,73.0,50.0,35.0,78.0,34.0,68.0,18.0,36.0,23.0,10.0,68.0,25.0,64.0,10.0,20.0,17.0,81.0,74.0,82.0,78.0,83.0
666,30,79,3.0,12.0,27.0,18.0,29.0,26.0,13.0,15.0,17.0,25.0,17.0,41.0,46.0,41.0,72.0,31.0,38.0,67.0,39.0,78.0,12.0,25.0,23.0,8.0,15.0,22.0,42.0,13.0,15.0,14.0,81.0,80.0,63.0,79.0,81.0
680,29,79,3.0,15.0,10.0,13.0,25.0,12.0,12.0,11.0,10.0,22.0,22.0,46.0,50.0,43.0,80.0,41.0,21.0,69.0,32.0,55.0,14.0,32.0,21.0,15.0,42.0,24.0,61.0,20.0,12.0,13.0,75.0,76.0,70.0,79.0,81.0
690,32,79,3.0,19.0,16.0,24.0,22.0,14.0,15.0,11.0,11.0,36.0,23.0,44.0,34.0,45.0,75.0,49.0,22.0,64.0,33.0,66.0,18.0,18.0,23.0,10.0,47.0,21.0,60.0,20.0,15.0,24.0,80.0,78.0,72.0,77.0,81.0
696,30,79,4.0,15.0,14.0,14.0,44.0,13.0,25.0,19.0,15.0,40.0,35.0,59.0,54.0,57.0,74.0,48.0,25.0,76.0,42.0,56.0,14.0,33.0,26.0,14.0,51.0,22.0,56.0,22.0,14.0,11.0,76.0,80.0,77.0,77.0,79.0
697,31,79,2.0,24.0,14.0,13.0,30.0,12.0,12.0,25.0,25.0,24.0,20.0,32.0,49.0,43.0,74.0,58.0,24.0,69.0,43.0,79.0,13.0,45.0,20.0,12.0,52.0,23.0,60.0,26.0,15.0,11.0,74.0,81.0,79.0,81.0,77.0
702,29,79,3.0,11.0,10.0,15.0,36.0,12.0,12.0,10.0,13.0,32.0,32.0,34.0,34.0,44.0,72.0,50.0,35.0,75.0,29.0,38.0,12.0,20.0,25.0,16.0,50.0,26.0,60.0,11.0,13.0,12.0,83.0,70.0,78.0,77.0,85.0
703,30,79,2.0,11.0,11.0,16.0,37.0,16.0,14.0,16.0,12.0,34.0,26.0,50.0,52.0,34.0,74.0,52.0,45.0,69.0,31.0,72.0,16.0,34.0,21.0,14.0,43.0,41.0,61.0,7.0,14.0,16.0,80.0,74.0,64.0,76.0,82.0
704,31,79,2.0,14.0,19.0,12.0,26.0,12.0,16.0,17.0,15.0,32.0,24.0,52.0,58.0,52.0,74.0,40.0,28.0,38.0,36.0,80.0,12.0,42.0,21.0,11.0,34.0,40.0,61.0,18.0,11.0,12.0,80.0,80.0,72.0,77.0,79.0
710,32,79,3.0,17.0,12.0,16.0,32.0,12.0,17.0,15.0,13.0,37.0,28.0,56.0,55.0,54.0,73.0,52.0,14.0,73.0,40.0,66.0,12.0,31.0,24.0,12.0,46.0,24.0,62.0,16.0,15.0,13.0,79.0,78.0,74.0,80.0,80.0
718,31,79,3.0,14.0,14.0,10.0,34.0,19.0,23.0,17.0,13.0,35.0,20.0,56.0,60.0,50.0,72.0,32.0,40.0,69.0,28.0,61.0,19.0,36.0,25.0,14.0,42.0,30.0,58.0,16.0,14.0,13.0,80.0,76.0,70.0,77.0,81.0
722,33,79,3.0,13.0,14.0,10.0,39.0,18.0,13.0,12.0,13.0,36.0,20.0,42.0,32.0,49.0,80.0,43.0,23.0,69.0,22.0,66.0,14.0,25.0,17.0,7.0,38.0,21.0,49.0,9.0,12.0,13.0,78.0,77.0,70.0,81.0,79.0
734,19,78,3.0,13.0,6.0,13.0,54.0,9.0,14.0,13.0,12.0,38.0,10.0,48.0,45.0,55.0,69.0,53.0,23.0,73.0,40.0,70.0,9.0,20.0,17.0,4.0,47.0,16.0,59.0,20.0,14.0,12.0,79.0,77.0,71.0,76.0,80.0
749,32,78,2.0,17.0,11.0,15.0,24.0,11.0,13.0,13.0,15.0,21.0,16.0,39.0,39.0,30.0,75.0,35.0,25.0,53.0,35.0,74.0,13.0,43.0,18.0,14.0,38.0,23.0,33.0,17.0,21.0,22.0,76.0,73.0,62.0,82.0,80.0
760,25,78,3.0,15.0,19.0,24.0,24.0,19.0,16.0,23.0,11.0,33.0,19.0,49.0,34.0,45.0,75.0,42.0,54.0,60.0,43.0,76.0,18.0,24.0,18.0,12.0,45.0,23.0,58.0,22.0,13.0,13.0,81.0,73.0,66.0,81.0,75.0
768,29,78,2.0,12.0,10.0,12.0,48.0,11.0,19.0,15.0,13.0,45.0,33.0,49.0,44.0,44.0,73.0,60.0,22.0,73.0,40.0,60.0,17.0,26.0,25.0,10.0,54.0,20.0,59.0,19.0,15.0,14.0,75.0,80.0,81.0,76.0,80.0
779,26,78,2.0,13.0,18.0,18.0,32.0,12.0,19.0,14.0,21.0,19.0,22.0,48.0,38.0,55.0,74.0,58.0,19.0,68.0,37.0,66.0,17.0,23.0,29.0,18.0,44.0,21.0,59.0,26.0,17.0,13.0,80.0,76.0,68.0,77.0,81.0
788,24,78,4.0,16.0,14.0,17.0,33.0,15.0,19.0,14.0,15.0,35.0,25.0,33.0,48.0,35.0,65.0,50.0,25.0,70.0,24.0,65.0,19.0,21.0,25.0,15.0,58.0,19.0,58.0,15.0,18.0,18.0,79.0,81.0,78.0,77.0,75.0
803,27,78,2.0,20.0,14.0,13.0,31.0,20.0,16.0,50.0,60.0,26.0,24.0,59.0,58.0,63.0,75.0,47.0,70.0,75.0,36.0,72.0,14.0,24.0,15.0,10.0,39.0,21.0,68.0,16.0,10.0,12.0,83.0,67.0,66.0,78.0,82.0
