Index,Age,Overall,Weak Foot,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
64,27,86,3.0,84.0,55.0,76.0,81.0,68.0,80.0,78.0,59.0,71.0,81.0,83.0,86.0,79.0,84.0,78.0,80.0,79.0,92.0,79.0,72.0,82.0,82.0,70.0,70.0,60.0,82.0,81.0,84.0,84.0,7.0,7.0,9.0,12.0,5.0
69,28,86,3.0,81.0,46.0,76.0,81.0,51.0,69.0,68.0,58.0,80.0,77.0,76.0,76.0,72.0,88.0,73.0,68.0,76.0,87.0,71.0,60.0,82.0,89.0,62.0,74.0,66.0,78.0,88.0,90.0,86.0,13.0,9.0,10.0,6.0,5.0
70,31,86,3.0,44.0,48.0,86.0,77.0,58.0,69.0,56.0,61.0,85.0,75.0,57.0,65.0,60.0,84.0,52.0,74.0,85.0,71.0,83.0,65.0,82.0,90.0,38.0,74.0,70.0,86.0,90.0,86.0,80.0,2.0,2.0,3.0,2.0,4.0
71,29,86,3.0,64.0,45.0,82.0,79.0,38.0,62.0,63.0,69.0,85.0,74.0,61.0,66.0,60.0,86.0,50.0,78.0,84.0,74.0,79.0,65.0,80.0,87.0,58.0,67.0,58.0,81.0,90.0,91.0,86.0,16.0,6.0,14.0,16.0,14.0
73,31,86,3.0,45.0,47.0,83.0,65.0,44.0,64.0,34.0,27.0,65.0,64.0,65.0,75.0,59.0,82.0,53.0,66.0,85.0,69.0,91.0,24.0,86.0,86.0,38.0,47.0,41.0,82.0,89.0,87.0,85.0,7.0,4.0,8.0,7.0,11.0
77,23,85,4.0,40.0,42.0,80.0,70.0,40.0,59.0,34.0,30.0,68.0,67.0,70.0,73.0,48.0,81.0,48.0,50.0,78.0,77.0,83.0,30.0,86.0,86.0,30.0,57.0,56.0,80.0,92.0,88.0,82.0,10.0,13.0,12.0,8.0,12.0
85,26,85,4.0,81.0,63.0,75.0,82.0,68.0,79.0,78.0,84.0,80.0,83.0,79.0,86.0,79.0,84.0,77.0,83.0,82.0,87.0,71.0,82.0,69.0,84.0,76.0,77.0,80.0,79.0,80.0,82.0,80.0,5.0,7.0,14.0,15.0,9.0
88,27,85,2.0,27.0,10.0,80.0,60.0,16.0,54.0,30.0,10.0,61.0,65.0,80.0,85.0,68.0,85.0,59.0,40.0,86.0,76.0,82.0,12.0,86.0,86.0,25.0,22.0,26.0,79.0,86.0,87.0,89.0,8.0,6.0,8.0,15.0,12.0
89,30,85,3.0,52.0,54.0,85.0,75.0,57.0,51.0,50.0,39.0,72.0,70.0,57.0,61.0,64.0,79.0,62.0,69.0,92.0,67.0,80.0,56.0,91.0,84.0,51.0,53.0,45.0,80.0,83.0,85.0,84.0,12.0,5.0,8.0,11.0,12.0
95,29,85,4.0,69.0,34.0,85.0,75.0,52.0,64.0,53.0,31.0,83.0,70.0,67.0,72.0,56.0,82.0,52.0,78.0,74.0,69.0,91.0,58.0,81.0,81.0,47.0,75.0,46.0,84.0,84.0,87.0,87.0,7.0,12.0,15.0,6.0,5.0
102,35,85,4.0,45.0,57.0,94.0,76.0,60.0,60.0,52.0,76.0,70.0,68.0,60.0,65.0,46.0,85.0,36.0,92.0,45.0,61.0,83.0,82.0,72.0,83.0,53.0,59.0,60.0,84.0,86.0,88.0,85.0,14.0,10.0,14.0,8.0,14.0
104,33,85,3.0,48.0,43.0,80.0,70.0,51.0,67.0,32.0,39.0,69.0,73.0,66.0,69.0,61.0,81.0,57.0,70.0,82.0,65.0,79.0,41.0,83.0,85.0,43.0,58.0,49.0,81.0,90.0,90.0,85.0,12.0,6.0,10.0,13.0,12.0
106,32,85,3.0,86.0,59.0,72.0,80.0,56.0,77.0,74.0,75.0,77.0,83.0,76.0,75.0,75.0,85.0,62.0,71.0,71.0,89.0,74.0,60.0,81.0,84.0,71.0,70.0,65.0,88.0,78.0,84.0,86.0,11.0,15.0,9.0,9.0,5.0
107,32,85,3.0,61.0,45.0,84.0,73.0,46.0,63.0,61.0,52.0,66.0,70.0,52.0,59.0,57.0,87.0,41.0,75.0,72.0,66.0,87.0,55.0,87.0,82.0,41.0,59.0,63.0,81.0,87.0,85.0,84.0,10.0,9.0,5.0,8.0,6.0
108,35,85,3.0,46.0,46.0,80.0,70.0,23.0,58.0,44.0,47.0,61.0,62.0,65.0,70.0,63.0,83.0,49.0,63.0,76.0,60.0,86.0,56.0,94.0,85.0,40.0,48.0,57.0,79.0,86.0,85.0,82.0,8.0,15.0,5.0,9.0,10.0
110,22,84,3.0,36.0,40.0,80.0,77.0,28.0,63.0,30.0,27.0,67.0,73.0,72.0,79.0,60.0,80.0,55.0,66.0,73.0,76.0,83.0,44.0,87.0,82.0,34.0,49.0,44.0,75.0,84.0,85.0,88.0,9.0,7.0,10.0,6.0,15.0
111,23,84,3.0,47.0,37.0,81.0,68.0,30.0,47.0,36.0,44.0,58.0,56.0,69.0,70.0,56.0,76.0,43.0,72.0,92.0,67.0,85.0,48.0,89.0,85.0,24.0,27.0,38.0,73.0,88.0,86.0,87.0,9.0,11.0,7.0,10.0,15.0
112,25,84,2.0,89.0,65.0,74.0,83.0,67.0,82.0,87.0,79.0,86.0,82.0,84.0,85.0,73.0,83.0,70.0,80.0,81.0,92.0,68.0,75.0,78.0,80.0,76.0,74.0,68.0,80.0,80.0,81.0,79.0,13.0,8.0,12.0,11.0,14.0
113,24,84,3.0,58.0,45.0,85.0,76.0,40.0,59.0,61.0,69.0,78.0,73.0,62.0,66.0,45.0,83.0,55.0,68.0,75.0,67.0,82.0,47.0,75.0,85.0,54.0,57.0,44.0,77.0,85.0,86.0,87.0,10.0,11.0,5.0,14.0,5.0
115,22,84,3.0,30.0,20.0,86.0,78.0,31.0,42.0,28.0,30.0,63.0,63.0,52.0,84.0,33.0,79.0,33.0,77.0,38.0,65.0,94.0,62.0,82.0,82.0,26.0,30.0,32.0,72.0,82.0,85.0,83.0,15.0,7.0,14.0,7.0,15.0
123,26,84,3.0,83.0,41.0,70.0,81.0,34.0,76.0,72.0,47.0,71.0,83.0,79.0,84.0,81.0,82.0,79.0,64.0,76.0,84.0,74.0,36.0,81.0,83.0,61.0,57.0,45.0,77.0,83.0,83.0,85.0,13.0,13.0,15.0,9.0,15.0
127,26,84,4.0,49.0,25.0,80.0,71.0,27.0,63.0,45.0,16.0,71.0,71.0,67.0,69.0,61.0,80.0,59.0,65.0,76.0,66.0,80.0,60.0,78.0,87.0,32.0,59.0,41.0,82.0,88.0,87.0,83.0,8.0,10.0,7.0,14.0,13.0
135,28,84,2.0,81.0,51.0,74.0,78.0,57.0,79.0,76.0,71.0,67.0,78.0,86.0,93.0,67.0,83.0,72.0,86.0,83.0,89.0,75.0,69.0,78.0,81.0,67.0,69.0,63.0,75.0,78.0,84.0,83.0,12.0,6.0,16.0,15.0,8.0
146,30,84,2.0,47.0,44.0,85.0,60.0,46.0,58.0,29.0,35.0,51.0,58.0,64.0,73.0,60.0,81.0,64.0,77.0,86.0,69.0,86.0,48.0,88.0,77.0,49.0,45.0,24.0,82.0,85.0,87.0,85.0,6.0,8.0,5.0,12.0,5.0
150,32,84,3.0,38.0,27.0,77.0,74.0,31.0,59.0,53.0,45.0,72.0,71.0,54.0,53.0,53.0,82.0,56.0,65.0,77.0,55.0,82.0,53.0,81.0,86.0,30.0,57.0,37.0,75.0,89.0,87.0,85.0,8.0,6.0,5.0,9.0,8.0
152,37,84,3.0,40.0,21.0,72.0,65.0,35.0,64.0,50.0,31.0,65.0,65.0,61.0,77.0,52.0,80.0,64.0,54.0,81.0,53.0,83.0,39.0,66.0,90.0,28.0,62.0,60.0,88.0,94.0,90.0,82.0,4.0,2.0,4.0,2.0,4.0
158,26,83,3.0,40.0,38.0,83.0,74.0,44.0,56.0,45.0,49.0,61.0,70.0,83.0,78.0,77.0,85.0,68.0,53.0,69.0,76.0,73.0,41.0,88.0,84.0,38.0,42.0,56.0,71.0,85.0,87.0,82.0,16.0,15.0,13.0,15.0,10.0
160,22,83,3.0,62.0,31.0,79.0,79.0,33.0,58.0,50.0,32.0,75.0,78.0,75.0,78.0,74.0,79.0,65.0,55.0,77.0,80.0,84.0,39.0,85.0,83.0,39.0,60.0,50.0,80.0,80.0,83.0,83.0,7.0,8.0,14.0,15.0,9.0
165,22,83,4.0,35.0,20.0,80.0,74.0,24.0,55.0,30.0,27.0,69.0,64.0,64.0,77.0,48.0,82.0,44.0,44.0,72.0,63.0,93.0,25.0,76.0,80.0,27.0,61.0,38.0,75.0,80.0,88.0,84.0,11.0,8.0,7.0,9.0,14.0
175,29,83,3.0,45.0,39.0,81.0,74.0,44.0,57.0,32.0,30.0,67.0,62.0,60.0,67.0,52.0,77.0,57.0,46.0,90.0,78.0,86.0,41.0,92.0,81.0,34.0,50.0,47.0,75.0,85.0,85.0,79.0,9.0,11.0,14.0,9.0,7.0
181,27,83,3.0,35.0,34.0,85.0,72.0,27.0,47.0,34.0,28.0,69.0,68.0,55.0,61.0,61.0,82.0,49.0,43.0,87.0,58.0,77.0,31.0,83.0,84.0,29.0,41.0,37.0,75.0,86.0,83.0,84.0,14.0,13.0,14.0,13.0,12.0
182,24,83,4.0,62.0,29.0,83.0,81.0,27.0,69.0,47.0,29.0,74.0,80.0,67.0,71.0,61.0,82.0,59.0,46.0,75.0,79.0,77.0,38.0,79.0,81.0,48.0,67.0,44.0,80.0,85.0,85.0,82.0,7.0,15.0,11.0,10.0,8.0
188,28,83,4.0,70.0,32.0,82.0,80.0,38.0,55.0,55.0,37.0,61.0,78.0,70.0,79.0,60.0,79.0,68.0,54.0,81.0,78.0,79.0,28.0,78.0,81.0,37.0,53.0,45.0,73.0,75.0,86.0,85.0,12.0,7.0,10.0,15.0,7.0
191,30,83,3.0,25.0,37.0,80.0,73.0,39.0,65.0,62.0,56.0,77.0,72.0,65.0,55.0,33.0,81.0,35.0,75.0,68.0,81.0,83.0,60.0,73.0,85.0,20.0,65.0,72.0,85.0,87.0,87.0,85.0,11.0,9.0,9.0,13.0,11.0
192,26,83,3.0,85.0,63.0,72.0,86.0,50.0,78.0,74.0,60.0,78.0,83.0,78.0,79.0,69.0,80.0,74.0,65.0,47.0,85.0,69.0,66.0,68.0,81.0,69.0,83.0,57.0,76.0,75.0,83.0,83.0,14.0,16.0,11.0,15.0,10.0
200,27,83,3.0,85.0,68.0,83.0,84.0,70.0,79.0,85.0,86.0,73.0,83.0,69.0,76.0,64.0,84.0,58.0,84.0,71.0,90.0,76.0,77.0,75.0,79.0,79.0,69.0,64.0,76.0,79.0,82.0,79.0,9.0,7.0,13.0,9.0,12.0
202,30,83,2.0,29.0,27.0,85.0,63.0,17.0,51.0,35.0,26.0,59.0,59.0,50.0,52.0,34.0,78.0,51.0,57.0,81.0,67.0,90.0,20.0,86.0,83.0,24.0,23.0,39.0,79.0,82.0,85.0,82.0,10.0,14.0,5.0,8.0,10.0
207,30,83,3.0,63.0,48.0,72.0,79.0,54.0,68.0,42.0,60.0,77.0,73.0,65.0,64.0,65.0,83.0,62.0,80.0,76.0,85.0,81.0,73.0,88.0,83.0,53.0,69.0,58.0,79.0,82.0,84.0,86.0,10.0,6.0,11.0,12.0,13.0
209,31,83,3.0,68.0,55.0,81.0,77.0,63.0,66.0,70.0,76.0,77.0,79.0,59.0,62.0,69.0,75.0,56.0,79.0,78.0,66.0,79.0,73.0,85.0,85.0,54.0,69.0,75.0,77.0,79.0,83.0,82.0,11.0,12.0,10.0,7.0,14.0
216,29,83,3.0,69.0,59.0,78.0,79.0,57.0,72.0,49.0,47.0,74.0,75.0,66.0,67.0,65.0,83.0,63.0,74.0,77.0,86.0,76.0,71.0,79.0,86.0,69.0,76.0,52.0,83.0,88.0,86.0,82.0,12.0,6.0,7.0,12.0,7.0
226,18,82,4.0,57.0,53.0,81.0,75.0,40.0,65.0,48.0,55.0,72.0,73.0,62.0,72.0,56.0,77.0,59.0,79.0,80.0,74.0,87.0,64.0,79.0,79.0,44.0,63.0,40.0,77.0,84.0,84.0,79.0,12.0,11.0,11.0,12.0,10.0
231,34,82,3.0,40.0,56.0,83.0,67.0,63.0,60.0,72.0,58.0,58.0,64.0,68.0,74.0,61.0,78.0,63.0,74.0,91.0,76.0,79.0,61.0,86.0,82.0,58.0,50.0,62.0,70.0,77.0,85.0,84.0,18.0,12.0,14.0,11.0,18.0
238,22,82,3.0,78.0,42.0,83.0,80.0,38.0,65.0,53.0,28.0,63.0,79.0,80.0,84.0,70.0,80.0,67.0,62.0,83.0,82.0,76.0,47.0,86.0,81.0,57.0,61.0,34.0,76.0,76.0,83.0,86.0,10.0,7.0,8.0,14.0,10.0
239,23,82,4.0,36.0,23.0,78.0,78.0,24.0,60.0,25.0,27.0,69.0,76.0,72.0,73.0,62.0,79.0,60.0,58.0,79.0,73.0,80.0,35.0,80.0,82.0,47.0,60.0,43.0,74.0,85.0,82.0,81.0,10.0,10.0,9.0,12.0,7.0
241,24,82,2.0,86.0,57.0,63.0,76.0,32.0,76.0,74.0,30.0,68.0,78.0,81.0,86.0,78.0,81.0,74.0,67.0,59.0,89.0,66.0,60.0,78.0,80.0,66.0,74.0,55.0,73.0,80.0,81.0,78.0,11.0,8.0,10.0,7.0,14.0
245,23,82,3.0,40.0,33.0,80.0,65.0,35.0,64.0,45.0,25.0,59.0,65.0,56.0,67.0,59.0,78.0,53.0,58.0,81.0,67.0,79.0,39.0,72.0,86.0,28.0,50.0,36.0,70.0,87.0,86.0,82.0,5.0,10.0,5.0,5.0,5.0
247,24,82,3.0,85.0,58.0,64.0,78.0,62.0,84.0,83.0,69.0,75.0,83.0,91.0,91.0,78.0,82.0,74.0,80.0,73.0,89.0,66.0,66.0,73.0,77.0,78.0,74.0,46.0,77.0,79.0,79.0,79.0,6.0,9.0,15.0,14.0,14.0
248,23,82,3.0,36.0,30.0,76.0,70.0,28.0,65.0,36.0,24.0,69.0,69.0,63.0,69.0,60.0,78.0,53.0,64.0,78.0,75.0,81.0,46.0,84.0,85.0,31.0,40.0,34.0,76.0,88.0,85.0,81.0,9.0,14.0,12.0,8.0,9.0
257,25,82,3.0,68.0,27.0,80.0,75.0,34.0,59.0,35.0,56.0,72.0,69.0,67.0,78.0,59.0,82.0,50.0,70.0,73.0,60.0,82.0,41.0,88.0,80.0,33.0,57.0,40.0,72.0,82.0,85.0,82.0,14.0,15.0,10.0,12.0,8.0
258,27,82,3.0,77.0,70.0,72.0,77.0,87.0,78.0,73.0,79.0,75.0,79.0,86.0,84.0,87.0,80.0,82.0,82.0,74.0,90.0,67.0,82.0,79.0,78.0,82.0,76.0,76.0,79.0,76.0,79.0,78.0,9.0,8.0,10.0,11.0,10.0
259,25,82,3.0,44.0,43.0,87.0,77.0,41.0,70.0,38.0,46.0,72.0,76.0,39.0,53.0,52.0,79.0,58.0,68.0,74.0,68.0,89.0,45.0,84.0,78.0,60.0,60.0,44.0,79.0,81.0,84.0,81.0,14.0,16.0,9.0,14.0,9.0
261,27,82,3.0,57.0,38.0,88.0,73.0,26.0,64.0,33.0,58.0,71.0,70.0,62.0,62.0,60.0,79.0,37.0,77.0,47.0,69.0,88.0,55.0,84.0,83.0,48.0,62.0,43.0,78.0,78.0,90.0,78.0,14.0,7.0,10.0,13.0,16.0
264,27,82,2.0,67.0,42.0,81.0,74.0,48.0,60.0,57.0,46.0,69.0,69.0,71.0,74.0,69.0,80.0,67.0,61.0,83.0,72.0,82.0,50.0,82.0,82.0,51.0,65.0,51.0,71.0,82.0,83.0,83.0,15.0,6.0,15.0,15.0,7.0
273,27,82,3.0,55.0,55.0,82.0,79.0,43.0,70.0,66.0,45.0,78.0,80.0,75.0,72.0,72.0,82.0,71.0,66.0,89.0,67.0,71.0,62.0,80.0,86.0,61.0,75.0,52.0,76.0,77.0,83.0,80.0,10.0,15.0,13.0,12.0,8.0
274,27,82,3.0,17.0,42.0,80.0,72.0,39.0,64.0,39.0,19.0,70.0,62.0,46.0,64.0,32.0,75.0,30.0,50.0,54.0,81.0,94.0,30.0,83.0,80.0,49.0,50.0,65.0,74.0,84.0,85.0,85.0,16.0,13.0,15.0,16.0,13.0
276,27,82,3.0,76.0,56.0,76.0,78.0,52.0,77.0,66.0,39.0,74.0,79.0,79.0,85.0,79.0,80.0,61.0,71.0,84.0,87.0,75.0,58.0,77.0,78.0,76.0,73.0,53.0,76.0,83.0,82.0,84.0,12.0,13.0,14.0,13.0,12.0
277,29,82,2.0,54.0,37.0,77.0,74.0,39.0,53.0,67.0,46.0,70.0,71.0,55.0,59.0,56.0,78.0,58.0,59.0,78.0,72.0,87.0,38.0,82.0,83.0,39.0,56.0,46.0,72.0,81.0,84.0,85.0,12.0,8.0,6.0,6.0,14.0
281,26,82,3.0,53.0,58.0,81.0,77.0,51.0,53.0,55.0,47.0,69.0,70.0,58.0,65.0,63.0,82.0,67.0,66.0,83.0,68.0,78.0,52.0,82.0,82.0,50.0,55.0,54.0,73.0,80.0,82.0,82.0,11.0,9.0,15.0,10.0,6.0
290,27,82,4.0,91.0,48.0,73.0,79.0,54.0,75.0,87.0,83.0,78.0,80.0,76.0,75.0,74.0,81.0,74.0,75.0,73.0,88.0,65.0,70.0,70.0,79.0,75.0,80.0,66.0,73.0,77.0,82.0,79.0,11.0,14.0,8.0,11.0,10.0
291,32,82,3.0,91.0,55.0,80.0,77.0,64.0,79.0,85.0,86.0,77.0,76.0,73.0,70.0,63.0,84.0,58.0,91.0,80.0,84.0,77.0,83.0,85.0,81.0,75.0,77.0,74.0,88.0,81.0,82.0,81.0,16.0,15.0,8.0,16.0,6.0
300,32,82,3.0,36.0,45.0,77.0,66.0,45.0,56.0,43.0,55.0,68.0,68.0,52.0,67.0,54.0,75.0,54.0,77.0,76.0,84.0,91.0,58.0,83.0,83.0,24.0,44.0,48.0,77.0,81.0,83.0,79.0,5.0,3.0,5.0,5.0,3.0
301,32,82,3.0,68.0,44.0,83.0,70.0,38.0,65.0,69.0,60.0,72.0,73.0,49.0,65.0,57.0,77.0,46.0,64.0,81.0,80.0,86.0,50.0,81.0,77.0,45.0,60.0,49.0,78.0,79.0,83.0,82.0,15.0,9.0,12.0,14.0,6.0
303,31,82,2.0,44.0,41.0,89.0,64.0,35.0,48.0,46.0,37.0,62.0,72.0,36.0,43.0,29.0,84.0,32.0,63.0,41.0,74.0,91.0,26.0,84.0,85.0,32.0,47.0,26.0,86.0,85.0,85.0,78.0,8.0,9.0,12.0,11.0,14.0
305,31,82,3.0,49.0,43.0,83.0,76.0,34.0,54.0,39.0,37.0,67.0,67.0,67.0,69.0,58.0,78.0,56.0,65.0,91.0,78.0,77.0,42.0,82.0,82.0,30.0,48.0,45.0,72.0,85.0,84.0,80.0,8.0,16.0,7.0,14.0,16.0
307,31,82,3.0,62.0,58.0,80.0,69.0,49.0,60.0,55.0,74.0,72.0,73.0,34.0,36.0,54.0,76.0,34.0,80.0,76.0,62.0,88.0,64.0,77.0,83.0,42.0,63.0,69.0,78.0,82.0,83.0,81.0,14.0,6.0,13.0,13.0,14.0
308,32,82,2.0,46.0,38.0,85.0,68.0,27.0,52.0,30.0,35.0,53.0,60.0,50.0,63.0,35.0,77.0,34.0,58.0,77.0,68.0,89.0,37.0,83.0,82.0,30.0,49.0,57.0,71.0,85.0,84.0,78.0,7.0,16.0,11.0,16.0,7.0
311,32,82,3.0,52.0,32.0,80.0,76.0,35.0,62.0,22.0,49.0,69.0,66.0,64.0,66.0,65.0,76.0,61.0,54.0,78.0,62.0,75.0,47.0,86.0,84.0,41.0,56.0,51.0,75.0,80.0,84.0,83.0,13.0,11.0,9.0,11.0,7.0
314,35,82,3.0,85.0,61.0,72.0,81.0,68.0,84.0,80.0,74.0,79.0,86.0,77.0,79.0,84.0,77.0,87.0,86.0,80.0,74.0,55.0,78.0,78.0,79.0,74.0,78.0,70.0,80.0,72.0,79.0,82.0,5.0,11.0,9.0,6.0,7.0
322,22,81,3.0,51.0,36.0,75.0,78.0,40.0,67.0,42.0,27.0,76.0,75.0,72.0,86.0,69.0,81.0,66.0,58.0,78.0,76.0,84.0,45.0,75.0,79.0,33.0,66.0,40.0,76.0,82.0,84.0,80.0,10.0,9.0,13.0,6.0,9.0
324,24,81,3.0,74.0,50.0,58.0,73.0,42.0,80.0,61.0,30.0,65.0,78.0,91.0,92.0,88.0,82.0,83.0,74.0,80.0,91.0,62.0,60.0,77.0,80.0,72.0,62.0,38.0,75.0,75.0,78.0,79.0,16.0,12.0,10.0,14.0,12.0
327,24,81,3.0,51.0,33.0,79.0,70.0,42.0,60.0,46.0,43.0,56.0,65.0,68.0,79.0,65.0,74.0,62.0,55.0,85.0,72.0,85.0,48.0,87.0,81.0,47.0,54.0,46.0,70.0,80.0,82.0,83.0,14.0,14.0,10.0,9.0,8.0
336,22,81,3.0,49.0,36.0,80.0,77.0,25.0,68.0,32.0,22.0,72.0,74.0,66.0,70.0,61.0,80.0,61.0,31.0,72.0,69.0,73.0,20.0,73.0,82.0,32.0,62.0,36.0,77.0,80.0,86.0,84.0,10.0,12.0,8.0,6.0,8.0
339,24,81,3.0,78.0,47.0,66.0,77.0,40.0,75.0,40.0,30.0,70.0,77.0,79.0,82.0,76.0,79.0,69.0,68.0,69.0,87.0,69.0,43.0,79.0,80.0,63.0,59.0,40.0,76.0,80.0,81.0,80.0,12.0,6.0,14.0,9.0,11.0
341,24,81,4.0,81.0,61.0,64.0,80.0,56.0,83.0,78.0,45.0,78.0,79.0,88.0,87.0,82.0,81.0,77.0,67.0,74.0,84.0,60.0,62.0,75.0,79.0,75.0,75.0,60.0,81.0,76.0,80.0,75.0,16.0,12.0,15.0,11.0,11.0
342,22,81,2.0,83.0,50.0,65.0,79.0,58.0,83.0,85.0,82.0,78.0,82.0,85.0,83.0,85.0,79.0,86.0,78.0,64.0,83.0,63.0,72.0,68.0,80.0,75.0,60.0,51.0,77.0,73.0,78.0,79.0,7.0,13.0,10.0,7.0,13.0
348,25,81,3.0,83.0,58.0,69.0,79.0,48.0,76.0,72.0,48.0,70.0,79.0,76.0,74.0,70.0,78.0,68.0,65.0,73.0,85.0,69.0,52.0,76.0,79.0,71.0,75.0,54.0,74.0,78.0,83.0,82.0,11.0,7.0,6.0,7.0,14.0
349,25,81,2.0,46.0,30.0,78.0,73.0,32.0,43.0,72.0,68.0,69.0,65.0,65.0,77.0,65.0,80.0,59.0,44.0,81.0,62.0,78.0,22.0,78.0,78.0,30.0,55.0,52.0,80.0,83.0,83.0,87.0,11.0,16.0,11.0,15.0,13.0
352,23,81,3.0,87.0,33.0,65.0,80.0,31.0,80.0,80.0,34.0,69.0,79.0,77.0,86.0,68.0,80.0,70.0,79.0,71.0,81.0,81.0,65.0,75.0,79.0,77.0,76.0,50.0,79.0,78.0,79.0,81.0,7.0,7.0,9.0,15.0,9.0
354,26,81,3.0,82.0,44.0,73.0,77.0,53.0,74.0,70.0,57.0,70.0,79.0,82.0,79.0,67.0,77.0,72.0,75.0,85.0,90.0,73.0,58.0,75.0,79.0,65.0,68.0,52.0,67.0,77.0,81.0,77.0,15.0,11.0,10.0,10.0,12.0
358,27,81,4.0,85.0,54.0,70.0,79.0,52.0,79.0,77.0,68.0,74.0,80.0,71.0,82.0,72.0,79.0,62.0,80.0,73.0,88.0,68.0,69.0,74.0,76.0,69.0,69.0,76.0,75.0,79.0,81.0,80.0,12.0,7.0,8.0,8.0,13.0
